pert_id,pert_iname,pubchem_cid,SMILES
BRD-A02850421,BRD-A02850421,,CC(Sc1cnc2ccccc2n1)C(O)=O
BRD-A02907341,BRD-A02907341,,O=C(Cn1nc(Cc2cccnc2)c2ccccc2c1=O)NCC1CCCO1
BRD-A02927672,BRD-A02927672,,CCCC(Oc1ccc(Br)cc1)c1nc2c3cc(OC)c(OC)cc3nc(S)n2n1
BRD-A02990301,LOFEXIDINE,30667,CC(Oc1c(Cl)cccc1Cl)C2=NCCN2
BRD-A03002738,BRD-A03002738,,CC(=N)C(C#N)C(=O)CSc1nc2cc(Cl)ccc2s1
BRD-A03044413,MICROPENIN,4608,Cc1onc(c1C(=O)NC1C2SC(C)(C)C(N2C1=O)C(O)=O)-c1ccccc1
BRD-A03053572,BRD-A03053572,,CC(Oc1ccc2cc(-c3ccccc3)c(=O)oc2c1)C(=O)NCC1CCC(CC1)C(O)=O
BRD-A03061970,ALIZAPRIDE,6410734,COc1cc2[nH]nnc2cc1C(=O)NCC3CCCN3CC=C
BRD-A03121430,BRD-A03121430,,O=C(CC(Sc1ccccc1)c1cccs1)c1ccco1
BRD-A03182941,BRD-A03182941,,COc1cc(ccc1OC(C)=O)C(=O)OC1CC2CCC1(C)C2(C)C
BRD-A03216249,MEPIVACAINE,4062,CN1CCCCC1C(=O)Nc1c(C)cccc1C
BRD-A03250038,BRD-A03250038,,Cc1ccc(NC(=O)C(OC(=O)c2ccc(NC(N)=O)cc2)c2ccccc2)cc1Cl
BRD-A03299823,BRD-A03299823,,O=C(NC1CCCC1)C(N(CC1CCCO1)C(=O)Cc1cccs1)c1cccs1
BRD-A03315925,BRD-A03315925,,CN1C(NC(=O)Nc2ccccc2)C(NC(=O)Nc2ccccc2)N(C)C1=O
BRD-A03323675,RITONAVIR,5076,CC(C)C(NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)NC(CC(O)C(Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1
BRD-A03359064,ICI-89406,123686,OC(CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N
BRD-A03427350,SULINDAC,1548885,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc3ccc(cc3)S(=O)C
BRD-A03433391,BRD-A03433391,,CC1CN=C(NC(=O)c2cccc(c2)[N+]([O-])=O)S1
BRD-A03436432,BRD-A03436432,44142160,COc1cccc(c1)S(=O)(=O)NC2CCN(C2)C#N
BRD-A03486163,BRD-A03486163,,CC(=O)Nc1cccc(c1)N1C(=O)CC(Cc2ccccc2)C1=O
BRD-A03503284,TETRAHYDROCORTISONE,,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CC[C@@H]4C[C@@H](CC[C@]4(C)C3C(=O)C[C@]12C)OC(C)=O
BRD-A03520402,ST-014366,3156173,CC(C)c1ccc(cc1)C2C3CN(C)CC=C3C(C#N)(C#N)C(=C2C#N)N
BRD-A03549855,BRD-A03549855,,CC1CCc2cc(F)ccc2N1C(=O)c1cc2nc(cc(n2n1)C(F)(F)F)-c1ccco1
BRD-A03579949,BRD-A03579949,,[O-][N+](=O)c1ccc(s1)C(=O)C(C#N)c1nc2ccccc2[nH]1
BRD-A03608603,BRD-A03608603,,Cc1sc2ncnc(NCC(O)c3ccc(cc3)[N+]([O-])=O)c2c1C
BRD-A03623303,METOPROLOL TARTRATE,5702086,COCCc1ccc(OCC(O)CNC(C)C)cc1
BRD-A03635368,BRD-A03635368,,CC(OC(=O)c1ccc2ccccc2n1)C(=O)c1ccccc1
